,closePrice,highPrice,lastTradedVolume,lowPrice,openPrice,snapshotTime,averageOpen,averageLow,averageHigh,averageClose
0,"{'bid': 22794.6, 'lastTraded': None, 'ask': 22796.2}","{'bid': 22798.6, 'lastTraded': None, 'ask': 22800.2}",3654,"{'bid': 22755.1, 'lastTraded': None, 'ask': 22756.7}","{'bid': 22777.6, 'lastTraded': None, 'ask': 22779.2}",2019:01:04-00:00:00,22778.4,22755.9,22799.4,22795.4
1,"{'bid': 22735.1, 'lastTraded': None, 'ask': 22736.7}","{'bid': 22796.6, 'lastTraded': None, 'ask': 22798.2}",3004,"{'bid': 22730.6, 'lastTraded': None, 'ask': 22732.2}","{'bid': 22796.6, 'lastTraded': None, 'ask': 22798.2}",2019:01:04-00:05:00,22797.4,22731.4,22797.4,22735.9
2,"{'bid': 22810.6, 'lastTraded': None, 'ask': 22812.2}","{'bid': 22833.1, 'lastTraded': None, 'ask': 22834.7}",5016,"{'bid': 22734.6, 'lastTraded': None, 'ask': 22736.2}","{'bid': 22735.6, 'lastTraded': None, 'ask': 22737.2}",2019:01:04-00:10:00,22736.4,22735.4,22833.9,22811.4
3,"{'bid': 22811.6, 'lastTraded': None, 'ask': 22813.2}","{'bid': 22844.1, 'lastTraded': None, 'ask': 22845.7}",3212,"{'bid': 22803.6, 'lastTraded': None, 'ask': 22805.2}","{'bid': 22811.1, 'lastTraded': None, 'ask': 22812.7}",2019:01:04-00:15:00,22811.9,22804.4,22844.9,22812.4
4,"{'bid': 22821.1, 'lastTraded': None, 'ask': 22822.7}","{'bid': 22857.6, 'lastTraded': None, 'ask': 22859.2}",3437,"{'bid': 22807.6, 'lastTraded': None, 'ask': 22809.2}","{'bid': 22812.1, 'lastTraded': None, 'ask': 22813.7}",2019:01:04-00:20:00,22812.9,22808.4,22858.4,22821.9
5,"{'bid': 22769.6, 'lastTraded': None, 'ask': 22771.2}","{'bid': 22832.1, 'lastTraded': None, 'ask': 22833.7}",3578,"{'bid': 22762.6, 'lastTraded': None, 'ask': 22764.2}","{'bid': 22821.6, 'lastTraded': None, 'ask': 22823.2}",2019:01:04-00:25:00,22822.4,22763.4,22832.9,22770.4
6,"{'bid': 22775.1, 'lastTraded': None, 'ask': 22776.7}","{'bid': 22807.1, 'lastTraded': None, 'ask': 22808.7}",2542,"{'bid': 22751.1, 'lastTraded': None, 'ask': 22752.7}","{'bid': 22768.6, 'lastTraded': None, 'ask': 22770.2}",2019:01:04-00:30:00,22769.4,22751.9,22807.9,22775.9
7,"{'bid': 22915.1, 'lastTraded': None, 'ask': 22916.7}","{'bid': 22930.6, 'lastTraded': None, 'ask': 22932.2}",6650,"{'bid': 22775.6, 'lastTraded': None, 'ask': 22777.2}","{'bid': 22775.6, 'lastTraded': None, 'ask': 22777.2}",2019:01:04-00:35:00,22776.4,22776.4,22931.4,22915.9
8,"{'bid': 22991.6, 'lastTraded': None, 'ask': 22993.2}","{'bid': 23020.1, 'lastTraded': None, 'ask': 23021.7}",6498,"{'bid': 22914.6, 'lastTraded': None, 'ask': 22916.2}","{'bid': 22914.6, 'lastTraded': None, 'ask': 22916.2}",2019:01:04-00:40:00,22915.4,22915.4,23020.9,22992.4
9,"{'bid': 22990.1, 'lastTraded': None, 'ask': 22991.7}","{'bid': 23014.6, 'lastTraded': None, 'ask': 23016.2}",3416,"{'bid': 22968.6, 'lastTraded': None, 'ask': 22970.2}","{'bid': 22990.6, 'lastTraded': None, 'ask': 22992.2}",2019:01:04-00:45:00,22991.4,22969.4,23015.4,22990.9
